,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,8.0,13.265245404046098,21.98469466335871,36.416192869480675,60.23063497555472,99.45521096448674,163.6864472256233,267.959619530611,435.3644513652098,696.7788566523063,1095.2204003809404,1669.4260178268855,2436.9227300048587,3363.702184485939,4355.846157692688,5274.417791526328,5990.066150579321,6464.0395189547435,6703.179294565727,6754.490659994038
1,10.0,16.193273922607467,26.211157785934347,42.396742795701115,68.51404602244516,110.4651132433974,177.765930325589,284.5320209535973,452.5619692530722,712.3192927003361,1100.4558079429921,1663.3591039921184,2429.854284704221,3390.692053163203,4479.0676052866365,5571.72106045691,6556.539589331547,7340.871361010479,7899.734981568254,8256.160136856524
2,54.0,83.0322249312225,127.4235588940962,194.98467210257994,296.9985470636909,449.58741448573386,673.3677024577951,994.4896955771183,1441.1493547744653,2029.2162179332458,2756.2992991828414,3585.057265549568,,,,,,,,
3,8.0,13.539396939107188,22.900732159940667,38.71063023108579,65.3117383720027,109.99253724037139,184.39130138523063,307.19773798382977,506.3959921436901,819.0917266623278,1293.3724725897134,1959.7340950876203,2811.7341181023694,3771.0116550916255,,,,,,
4,8.0,11.931041317850605,17.785694524839162,26.49432368662461,39.433000649682114,58.580682884701254,86.86713644114305,128.40607419614193,188.7680511060341,275.91719513686144,399.3735063637673,569.3661636773613,797.3308287834786,1091.3021055743557,1446.886306035428,1847.4024080700442,2264.3049576820063,,,
5,12.0,18.390751265327623,28.16356011233592,43.0892759365073,65.80273225988526,100.26995144619676,152.19541906933694,229.69239756132515,344.0566815264248,508.8263593637088,739.0038671398669,1049.108343185399,,,,,,,,
6,16.0,19.12360295967858,22.83428676001224,27.232692561660954,32.42974896120278,38.5549586755158,45.75241159553495,54.16870939885658,63.95288477693715,75.25631172179591,,,,,,,,,,
7,27.0,56.25853770892248,116.44511158386243,237.76265743848305,473.4744227206265,896.1014402413007,1565.7998674522573,2427.7659562154604,3283.000522192003,3940.582391102882,4341.1455339849,4543.307331332456,,,,,,,,
8,8.0,20.61380931897799,52.87553526100341,134.0932932041427,330.8003698168409,767.0991248157152,1561.2193901356263,2598.380319774749,3460.809768420724,3911.6814288911874,4033.6203529913796,,,,,,,,,
9,45.0,68.50207802433056,102.5587568114503,149.82509981056756,211.91077670570297,287.487211384599,370.6041336239466,451.9555394800074,521.7474244748785,,,,,,,,,,,
10,54.0,87.57248491027573,138.54665981016382,211.11855945946542,305.8523284741974,415.87270581236857,525.9123356072353,620.1671644164827,688.7259153121863,,,,,,,,,,,
11,8.0,15.689698757658087,30.531048688646685,58.59557896386884,109.33198978413193,195.24647150974903,323.3593761234529,483.18031096975164,644.7116334154857,773.6167723173384,858.962335624949,906.5405387397121,929.674561020812,938.3076587607284,,,,,,
12,8.0,24.1526012674669,70.56143417290632,188.53610416027402,415.2740467121471,678.533781630902,852.9636330243507,925.3021261233878,944.6589751464135,943.4940451978766,935.2110551894983,,,,,,,,,
13,8.0,42.05855998250506,214.63127397245498,957.2720127144714,2762.5008787174484,4262.499485610803,4710.461121123213,4754.605387651244,4708.4253275834035,4644.680578969023,,,,,,,,,,
14,28.0,42.013678182574495,62.47131274457232,91.64718053002878,131.91614502693486,185.32208497827406,251.6774782100033,328.0982194070722,,,,,,,,,,,,
15,27.0,4.2976937415626715,0.6732343200355743,0.10522541588342849,0.016434665064824345,0.0025641149982795295,0.00039970838329855417,,,,,,,,,,,,,
